"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","7","46","37","0","0","18.91","6","caught","1","v England","Perth","16 Dec 2010"
"2","36","83","62","2","0","58.06","6","caught","3","v England","Perth","16 Dec 2010"
"3","6","18","15","0","0","40.00","6","caught","1","v England","Melbourne","26 Dec 2010"
"4","38","91","67","6","0","56.71","6","bowled","3","v England","Melbourne","26 Dec 2010"
"5","18","85","53","1","0","33.96","7","caught","1","v England","Sydney","3 Jan 2011"
"6","54*","132","90","6","0","60.00","7","not out","3","v England","Sydney","3 Jan 2011"
"7","92","236","185","10","1","49.72","5","stumped","1","v India","Mohali","14 Mar 2013"
"8","5","23","19","0","0","26.31","4","bowled","3","v India","Mohali","14 Mar 2013"
"9","46","152","145","3","2","31.72","5","caught","1","v India","Delhi","22 Mar 2013"
"10","18","43","53","1","0","33.96","6","bowled","3","v India","Delhi","22 Mar 2013"
"11","53","98","79","7","1","67.08","5","caught","2","v England","Nottingham","10 Jul 2013"
"12","17","72","48","2","0","35.41","5","lbw","4","v England","Nottingham","10 Jul 2013"
"13","2","26","14","0","0","14.28","6","caught","2","v England","Lord's","18 Jul 2013"
"14","1","19","14","0","0","7.14","6","caught","4","v England","Lord's","18 Jul 2013"
"15","89","289","196","8","0","45.40","5","caught","1","v England","Manchester","1 Aug 2013"
"16","19","27","19","0","2","100.00","6","run out","3","v England","Manchester","1 Aug 2013"
"17","17","35","34","3","0","50.00","5","caught","2","v England","Chester-le-Street","9 Aug 2013"
"18","2","35","19","0","0","10.52","5","bowled","4","v England","Chester-le-Street","9 Aug 2013"
"19","138*","382","241","16","2","57.26","5","not out","1","v England","The Oval","21 Aug 2013"
"20","7","12","12","0","0","58.33","6","caught","3","v England","The Oval","21 Aug 2013"
"21","31","80","59","4","0","52.54","5","caught","1","v England","Brisbane","21 Nov 2013"
"22","0","13","7","0","0","0.00","5","caught","3","v England","Brisbane","21 Nov 2013"
"23","6","22","17","1","0","35.29","5","bowled","1","v England","Adelaide","5 Dec 2013"
"24","23*","71","54","2","0","42.59","5","not out","3","v England","Adelaide","5 Dec 2013"
"25","111","295","208","14","2","53.36","5","caught","1","v England","Perth","13 Dec 2013"
"26","15","59","50","0","0","30.00","5","caught","3","v England","Perth","13 Dec 2013"
"27","19","97","77","3","0","24.67","5","caught","2","v England","Melbourne","26 Dec 2013"
"28","DNB","-","-","-","-","-","-","-","4","v England","Melbourne","26 Dec 2013"
"29","115","249","154","17","1","74.67","5","caught","1","v England","Sydney","3 Jan 2014"
"30","7","27","12","1","0","58.33","5","caught","3","v England","Sydney","3 Jan 2014"
"31","100","288","213","13","0","46.94","6","caught","1","v South Africa","Centurion","12 Feb 2014"
"32","DNB","-","-","-","-","-","-","-","3","v South Africa","Centurion","12 Feb 2014"
"33","49","102","72","8","0","68.05","7","caught","2","v South Africa","Port Elizabeth","20 Feb 2014"
"34","0","1","1","0","0","0.00","6","lbw","4","v South Africa","Port Elizabeth","20 Feb 2014"
"35","84","214","155","9","3","54.19","5","bowled","1","v South Africa","Cape Town","1 Mar 2014"
"36","36*","29","20","5","0","180.00","6","not out","3","v South Africa","Cape Town","1 Mar 2014"
"37","162*","298","231","21","0","70.12","5","not out","1","v India","Adelaide","9 Dec 2014"
"38","52*","103","64","5","0","81.25","5","not out","3","v India","Adelaide","9 Dec 2014"
"39","133","303","191","13","2","69.63","4","bowled","2","v India","Brisbane","17 Dec 2014"
"40","28","75","39","4","0","71.79","4","run out","4","v India","Brisbane","17 Dec 2014"
"41","192","433","305","15","2","62.95","4","bowled","1","v India","Melbourne","26 Dec 2014"
"42","14","48","27","2","0","51.85","4","caught","3","v India","Melbourne","26 Dec 2014"
"43","117","268","208","15","0","56.25","4","caught","1","v India","Sydney","6 Jan 2015"
"44","71","92","70","8","1","101.42","4","lbw","3","v India","Sydney","6 Jan 2015"
"45","25","154","90","1","0","27.77","3","stumped","2","v West Indies","Roseau","3 Jun 2015"
"46","5*","2","4","1","0","125.00","3","not out","4","v West Indies","Roseau","3 Jun 2015"
"47","199","513","361","21","2","55.12","3","lbw","1","v West Indies","Kingston","11 Jun 2015"
"48","54*","97","83","5","1","65.06","3","not out","3","v West Indies","Kingston","11 Jun 2015"
"49","33","78","56","5","0","58.92","3","caught","2","v England","Cardiff","8 Jul 2015"
"50","33","77","49","6","0","67.34","3","caught","4","v England","Cardiff","8 Jul 2015"
"51","215","503","346","25","1","62.13","3","lbw","1","v England","Lord's","16 Jul 2015"
"52","58","67","48","9","0","120.83","3","bowled","3","v England","Lord's","16 Jul 2015"
